Genes,pathway
ilvN,L-valine biosynthesis
gadB,L-glutamate degradation IX (via 4-aminobutanoate)
ilvH,L-valine biosynthesis
ilvH,superpathway of L-threonine metabolism
ilvH,superpathway of branched chain amino acid biosynthesis
ilvH,L-isoleucine biosynthesis I (from threonine)
ilvC,L-valine biosynthesis
ilvC,superpathway of L-threonine metabolism
ilvC,superpathway of branched chain amino acid biosynthesis
ilvC,L-isoleucine biosynthesis I (from threonine)
ilvC,superpathway of coenzyme A biosynthesis I (bacteria)
ilvC,phosphopantothenate biosynthesis I
cadA,superpathway of arginine and polyamine biosynthesis
cadA,superpathway of polyamine biosynthesis I
cadA,aminopropylcadaverine biosynthesis
cadA,cadaverine biosynthesis
cadA,L-lysine degradation I
ilvI,L-valine biosynthesis
ilvI,superpathway of L-threonine metabolism
ilvI,superpathway of branched chain amino acid biosynthesis
ilvI,L-isoleucine biosynthesis I (from threonine)
ilvD,L-valine biosynthesis
ilvD,superpathway of L-threonine metabolism
ilvD,superpathway of branched chain amino acid biosynthesis
ilvD,L-isoleucine biosynthesis I (from threonine)
adiA,superpathway of L-arginine and L-ornithine degradation
adiA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
adiA,L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
adiA,arginine dependent acid resistance
ilvA,superpathway of L-threonine metabolism
ilvA,superpathway of branched chain amino acid biosynthesis
ilvA,L-isoleucine biosynthesis I (from threonine)
yfbQ,superpathway of L-alanine biosynthesis
yfbQ,L-alanine biosynthesis II
gadA,L-glutamate degradation IX (via 4-aminobutanoate)
ilvE,superpathway of chorismate metabolism
ilvE,superpathway of aromatic amino acid biosynthesis
ilvE,L-phenylalanine biosynthesis I
ilvE,superpathway of L-alanine biosynthesis
ilvE,L-valine biosynthesis
ilvE,L-alanine biosynthesis I
ilvE,superpathway of L-threonine metabolism
ilvE,L-isoleucine biosynthesis I (from threonine)
ilvE,superpathway of branched chain amino acid biosynthesis
ilvE,L-leucine biosynthesis
yfdZ,superpathway of L-alanine biosynthesis
yfdZ,L-alanine biosynthesis II
alr,L-alanine degradation I
alr,alanine racemization
avtA,superpathway of L-alanine biosynthesis
avtA,L-alanine biosynthesis I
hisG,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisG,L-histidine biosynthesis
hisC,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisC,L-histidine biosynthesis
hisH,L-glutamine degradation I
hisH,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisH,L-histidine biosynthesis
hisD,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisD,L-histidine biosynthesis
hisA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisA,L-histidine biosynthesis
hisI,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisI,L-histidine biosynthesis
hisF,L-glutamine degradation I
hisF,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisF,L-histidine biosynthesis
hisB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
hisB,L-histidine biosynthesis
trpD,superpathway of chorismate metabolism
trpD,superpathway of aromatic amino acid biosynthesis
trpD,L-tryptophan biosynthesis
trpA,superpathway of chorismate metabolism
trpA,superpathway of aromatic amino acid biosynthesis
trpA,L-tryptophan biosynthesis
aroH,superpathway of chorismate metabolism
aroH,superpathway of aromatic amino acid biosynthesis
aroH,chorismate biosynthesis I
aroH,3-dehydroquinate biosynthesis I
yigL,glucose and glucose-1-phosphate degradation
trpB,superpathway of chorismate metabolism
trpB,superpathway of aromatic amino acid biosynthesis
trpB,L-tryptophan biosynthesis
trpC,superpathway of chorismate metabolism
trpC,superpathway of aromatic amino acid biosynthesis
trpC,L-tryptophan biosynthesis
tyrB,superpathway of branched chain amino acid biosynthesis
tyrB,L-leucine biosynthesis
tyrB,L-tyrosine biosynthesis I
tyrB,superpathway of chorismate metabolism
tyrB,superpathway of aromatic amino acid biosynthesis
tyrB,L-phenylalanine biosynthesis I
aroG,superpathway of chorismate metabolism
aroG,superpathway of aromatic amino acid biosynthesis
aroG,chorismate biosynthesis I
aroG,3-dehydroquinate biosynthesis I
tyrA,L-phenylalanine biosynthesis I
tyrA,superpathway of chorismate metabolism
tyrA,superpathway of aromatic amino acid biosynthesis
tyrA,L-tyrosine biosynthesis I
cysE,superpathway of sulfate assimilation and cysteine biosynthesis
cysE,L-cysteine biosynthesis I
cysE,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
cysK,superpathway of sulfate assimilation and cysteine biosynthesis
cysZ,superpathway of sulfate assimilation and cysteine biosynthesis
cysK,L-cysteine biosynthesis I
cysZ,L-cysteine biosynthesis I
cysK,L-cysteine degradation II
cysZ,L-cysteine degradation II
cysM,superpathway of sulfate assimilation and cysteine biosynthesis
cysM,L-cysteine biosynthesis I
cysM,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
cysM,L-cysteine degradation II
serA,superpathway of L-serine and glycine biosynthesis I
serA,superpathway of sulfate assimilation and cysteine biosynthesis
serA,L-serine biosynthesis I
serB,superpathway of L-serine and glycine biosynthesis I
serB,superpathway of sulfate assimilation and cysteine biosynthesis
serB,L-serine biosynthesis I
serC,superpathway of L-serine and glycine biosynthesis I
serC,superpathway of sulfate assimilation and cysteine biosynthesis
serC,L-serine biosynthesis I
serC,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
serC,pyridoxal 5'-phosphate biosynthesis I
serC,aspartate superpathway
serC,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
serC,L-lysine biosynthesis I
ltaE,superpathway of L-threonine metabolism
ltaE,L-threonine degradation IV
gltB,L-glutamine degradation I
gltB,ammonia assimilation cycle III
gltB,L-glutamate biosynthesis I
gltD,L-glutamine degradation I
gltD,ammonia assimilation cycle III
gltD,L-glutamate biosynthesis I
gdhA,L-glutamate biosynthesis III
fldB,methylerythritol phosphate pathway I
fdx,biotin biosynthesis from 8-amino-7-oxononanoate I
fdx,methylerythritol phosphate pathway I
fdx,lipoate biosynthesis and incorporation I
fdx,lipoate biosynthesis and incorporation II
fdx,thiazole component of thiamne diphosphate biosynthesis
cydA,succinate to cytochrome bd oxidase electron transfer
cydA,NADH to cytochrome bd oxidase electron transfer II
cydA,pyruvate to cytochrome bd oxidase electron transfer
cydA,NADH to cytochrome bd oxidase electron transfer I
cydB,succinate to cytochrome bd oxidase electron transfer
cydB,NADH to cytochrome bd oxidase electron transfer II
cydB,pyruvate to cytochrome bd oxidase electron transfer
cydB,NADH to cytochrome bd oxidase electron transfer I
caiA,L-carnitine degradation I
hybA,hydrogen to fumarate electron transfer
hybA,hydrogen to trimethylamine N-oxide electron transfer
hybA,hydrogen to dimethyl sulfoxide electron transfer
fldA,methylerythritol phosphate pathway I
edd,superpathway of glycolysis and the Entner-Doudoroff pathway
edd,Entner-Doudoroff shunt
atpG,ATP biosynthesis
atpD,ATP biosynthesis
atpA,ATP biosynthesis
atpH,ATP biosynthesis
atpE,ATP biosynthesis
atpB,ATP biosynthesis
atpF,ATP biosynthesis
atpC,ATP biosynthesis
narY,nitrate reduction III (dissimilatory)
narY,nitrate reduction VIII (dissimilatory)
narY,nitrate reduction IX (dissimilatory)
dmsB,NADH to dimethyl sulfoxide electron transfer
dmsB,formate to dimethyl sulfoxide electron transfer
dmsB,hydrogen to dimethyl sulfoxide electron transfer
dcuS,"DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent"
aphA,"nitrate reduction X (dissimilatory, periplasmic)"
napA,"nitrate reduction X (dissimilatory, periplasmic)"
fdoG,nitrate reduction III (dissimilatory)
fdoG,formate to trimethylamine N-oxide electron transfer
menC,superpathway of menaquinol-8 biosynthesis I
menC,superpathway of chorismate metabolism
menC,"2-carboxy-1,4-naphthoquinol biosynthesis"
narV,nitrate reduction III (dissimilatory)
narV,nitrate reduction VIII (dissimilatory)
narV,nitrate reduction IX (dissimilatory)
menF,superpathway of menaquinol-8 biosynthesis I
menF,superpathway of chorismate metabolism
menF,"2-carboxy-1,4-naphthoquinol biosynthesis"
torC,hydrogen to trimethylamine N-oxide electron transfer
torC,formate to trimethylamine N-oxide electron transfer
torC,NADH to trimethylamine N-oxide electron transfer
narQ,"NarQ Two-Component Signal Transduction System, nitrate dependent"
narI,nitrate reduction III (dissimilatory)
narI,nitrate reduction VIII (dissimilatory)
narI,nitrate reduction IX (dissimilatory)
narI,nitrate reduction VIIIb (dissimilatory)
glpC,glycerol and glycerophosphodiester degradation
glpC,glycerol degradation I
glpC,glycerophosphodiester degradation
glpC,nitrate reduction IX (dissimilatory)
glpC,glycerol-3-phosphate to fumarate electron transfer
glpC,glycerol-3-phosphate to hydrogen peroxide electron transport
ilvG,superpathway of L-threonine metabolism
ilvG,L-isoleucine biosynthesis I (from threonine)
ilvG,superpathway of branched chain amino acid biosynthesis
ilvG,L-valine biosynthesis
fdnI,nitrate reduction III (dissimilatory)
fdnI,formate to trimethylamine N-oxide electron transfer
menD,superpathway of menaquinol-8 biosynthesis I
menD,superpathway of chorismate metabolism
menD,"2-carboxy-1,4-naphthoquinol biosynthesis"
nrfD,formate to nitrite electron transfer
hybB,hydrogen to fumarate electron transfer
hybB,hydrogen to trimethylamine N-oxide electron transfer
hybB,hydrogen to dimethyl sulfoxide electron transfer
narZ,nitrate reduction III (dissimilatory)
narZ,nitrate reduction VIII (dissimilatory)
narZ,nitrate reduction IX (dissimilatory)
dmsC,NADH to dimethyl sulfoxide electron transfer
dmsC,formate to dimethyl sulfoxide electron transfer
dmsC,hydrogen to dimethyl sulfoxide electron transfer
torS,"TorTSR Signal Transduction System, TMAO dependent"
hybO,hydrogen to fumarate electron transfer
hybO,hydrogen to trimethylamine N-oxide electron transfer
hybO,hydrogen to dimethyl sulfoxide electron transfer
menE,superpathway of menaquinol-8 biosynthesis I
menE,superpathway of chorismate metabolism
menE,"2-carboxy-1,4-naphthoquinol biosynthesis"
napH,"nitrate reduction X (dissimilatory, periplasmic)"
fdoI,nitrate reduction III (dissimilatory)
fdoI,formate to trimethylamine N-oxide electron transfer
narG,nitrate reduction III (dissimilatory)
narG,nitrate reduction VIII (dissimilatory)
narG,nitrate reduction IX (dissimilatory)
narG,nitrate reduction VIIIb (dissimilatory)
glpA,glycerol and glycerophosphodiester degradation
glpA,glycerol degradation I
glpA,glycerophosphodiester degradation
glpA,nitrate reduction IX (dissimilatory)
glpA,glycerol-3-phosphate to fumarate electron transfer
glpA,glycerol-3-phosphate to hydrogen peroxide electron transport
hybC,hydrogen to fumarate electron transfer
hybC,hydrogen to trimethylamine N-oxide electron transfer
hybC,hydrogen to dimethyl sulfoxide electron transfer
fdnG,nitrate reduction III (dissimilatory)
fdnG,formate to trimethylamine N-oxide electron transfer
nrfA,formate to nitrite electron transfer
menA,superpathway of menaquinol-8 biosynthesis I
menA,superpathway of chorismate metabolism
menA,demethylmenaquinol-8 biosynthesis I
narX,"NarX Two-Component Signal Transduction System, nitrate dependent"
dmsA,NADH to dimethyl sulfoxide electron transfer
dmsA,formate to dimethyl sulfoxide electron transfer
dmsA,hydrogen to dimethyl sulfoxide electron transfer
dcuR,"DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent"
torR,"TorTSR Signal Transduction System, TMAO dependent"
napG,"nitrate reduction X (dissimilatory, periplasmic)"
fdoH,nitrate reduction III (dissimilatory)
fdoH,formate to trimethylamine N-oxide electron transfer
narL,"NarQ Two-Component Signal Transduction System, nitrate dependent"
narL,"NarX Two-Component Signal Transduction System, nitrate dependent"
napC,formate to nitrite electron transfer
torA,hydrogen to trimethylamine N-oxide electron transfer
torA,formate to trimethylamine N-oxide electron transfer
torA,NADH to trimethylamine N-oxide electron transfer
menB,superpathway of menaquinol-8 biosynthesis I
menB,superpathway of chorismate metabolism
menB,"2-carboxy-1,4-naphthoquinol biosynthesis"
narH,nitrate reduction III (dissimilatory)
narH,nitrate reduction VIII (dissimilatory)
narH,nitrate reduction IX (dissimilatory)
narH,nitrate reduction VIIIb (dissimilatory)
glpB,glycerol and glycerophosphodiester degradation
glpB,glycerol degradation I
glpB,glycerophosphodiester degradation
glpB,nitrate reduction IX (dissimilatory)
glpB,glycerol-3-phosphate to fumarate electron transfer
glpB,glycerol-3-phosphate to hydrogen peroxide electron transport
fdnH,nitrate reduction III (dissimilatory)
fdnH,formate to trimethylamine N-oxide electron transfer
nrfC,formate to nitrite electron transfer
adhP,ethanol degradation I
adhP,mixed acid fermentation
adhP,ethanolamine utilization
ndh,NADH to cytochrome bo oxidase electron transfer II
ndh,NADH to cytochrome bd oxidase electron transfer II
ndh,nitrate reduction VIIIb (dissimilatory)
nuoF,NADH to cytochrome bo oxidase electron transfer I
nuoF,NADH to cytochrome bd oxidase electron transfer I
nuoF,NADH to dimethyl sulfoxide electron transfer
nuoF,nitrate reduction VIII (dissimilatory)
nuoF,NADH to fumarate electron transfer
nuoF,NADH to hydrogen peroxide electron transfer
nuoF,NADH to trimethylamine N-oxide electron transfer
nuoK,NADH to cytochrome bo oxidase electron transfer I
nuoK,NADH to cytochrome bd oxidase electron transfer I
nuoK,NADH to dimethyl sulfoxide electron transfer
nuoK,nitrate reduction VIII (dissimilatory)
nuoK,NADH to fumarate electron transfer
nuoK,NADH to hydrogen peroxide electron transfer
nuoK,NADH to trimethylamine N-oxide electron transfer
ubiE,superpathway of menaquinol-8 biosynthesis I
ubiE,menaquinol-8 biosynthesis
ubiE,superpathway of chorismate metabolism
ubiE,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiE,ubiquinol-8 biosynthesis (prokaryotic)
hyaA,hydrogen to trimethylamine N-oxide electron transfer
hyaA,hydrogen to dimethyl sulfoxide electron transfer
nuoH,NADH to cytochrome bo oxidase electron transfer I
nuoH,NADH to cytochrome bd oxidase electron transfer I
nuoH,NADH to dimethyl sulfoxide electron transfer
nuoH,nitrate reduction VIII (dissimilatory)
nuoH,NADH to fumarate electron transfer
nuoH,NADH to hydrogen peroxide electron transfer
nuoH,NADH to trimethylamine N-oxide electron transfer
ubiG,superpathway of chorismate metabolism
ubiG,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiG,ubiquinol-8 biosynthesis (prokaryotic)
dld,superpathway of methylglyoxal degradation
dld,methylglyoxal degradation I
dld,D-lactate to cytochrome bo oxidase electron transfer
nuoC,NADH to cytochrome bo oxidase electron transfer I
nuoC,NADH to cytochrome bd oxidase electron transfer I
nuoC,NADH to dimethyl sulfoxide electron transfer
nuoC,nitrate reduction VIII (dissimilatory)
nuoC,NADH to fumarate electron transfer
nuoC,NADH to hydrogen peroxide electron transfer
nuoC,NADH to trimethylamine N-oxide electron transfer
cyoC,proline to cytochrome bo oxidase electron transfer
cyoC,NADH to cytochrome bo oxidase electron transfer II
cyoC,NADH to cytochrome bo oxidase electron transfer I
cyoC,glycerol-3-phosphate to cytochrome bo oxidase electron transfer
cyoC,D-lactate to cytochrome bo oxidase electron transfer
cyoC,pyruvate to cytochrome bo oxidase electron transfer
cyoC,succinate to cytochrome bo oxidase electron transfer
nuoL,NADH to cytochrome bo oxidase electron transfer I
nuoL,NADH to cytochrome bd oxidase electron transfer I
nuoL,NADH to dimethyl sulfoxide electron transfer
nuoL,nitrate reduction VIII (dissimilatory)
nuoL,NADH to fumarate electron transfer
nuoL,NADH to hydrogen peroxide electron transfer
nuoL,NADH to trimethylamine N-oxide electron transfer
hyaB,hydrogen to trimethylamine N-oxide electron transfer
hyaB,hydrogen to dimethyl sulfoxide electron transfer
nuoI,NADH to cytochrome bo oxidase electron transfer I
nuoI,NADH to cytochrome bd oxidase electron transfer I
nuoI,NADH to dimethyl sulfoxide electron transfer
nuoI,nitrate reduction VIII (dissimilatory)
nuoI,NADH to fumarate electron transfer
nuoI,NADH to hydrogen peroxide electron transfer
nuoI,NADH to trimethylamine N-oxide electron transfer
ubiH,superpathway of chorismate metabolism
ubiH,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiH,ubiquinol-8 biosynthesis (prokaryotic)
glpD,glycerol and glycerophosphodiester degradation
glpD,glycerol degradation I
glpD,glycerophosphodiester degradation
glpD,glycerol-3-phosphate to cytochrome bo oxidase electron transfer
glpD,"nitrate reduction X (dissimilatory, periplasmic)"
nuoE,NADH to cytochrome bo oxidase electron transfer I
nuoE,NADH to cytochrome bd oxidase electron transfer I
nuoE,NADH to dimethyl sulfoxide electron transfer
nuoE,nitrate reduction VIII (dissimilatory)
nuoE,NADH to fumarate electron transfer
nuoE,NADH to hydrogen peroxide electron transfer
nuoE,NADH to trimethylamine N-oxide electron transfer
ubiX,prenylated FMNH<sub>2</sub> biosynthesis
cyoD,proline to cytochrome bo oxidase electron transfer
cyoD,NADH to cytochrome bo oxidase electron transfer II
cyoD,NADH to cytochrome bo oxidase electron transfer I
cyoD,glycerol-3-phosphate to cytochrome bo oxidase electron transfer
cyoD,D-lactate to cytochrome bo oxidase electron transfer
cyoD,pyruvate to cytochrome bo oxidase electron transfer
cyoD,succinate to cytochrome bo oxidase electron transfer
nuoA,NADH to cytochrome bo oxidase electron transfer I
nuoA,NADH to cytochrome bd oxidase electron transfer I
nuoA,NADH to dimethyl sulfoxide electron transfer
nuoA,nitrate reduction VIII (dissimilatory)
nuoA,NADH to fumarate electron transfer
nuoA,NADH to hydrogen peroxide electron transfer
nuoA,NADH to trimethylamine N-oxide electron transfer
cyoA,proline to cytochrome bo oxidase electron transfer
cyoA,NADH to cytochrome bo oxidase electron transfer II
cyoA,NADH to cytochrome bo oxidase electron transfer I
cyoA,glycerol-3-phosphate to cytochrome bo oxidase electron transfer
cyoA,D-lactate to cytochrome bo oxidase electron transfer
cyoA,pyruvate to cytochrome bo oxidase electron transfer
cyoA,succinate to cytochrome bo oxidase electron transfer
lldD,superpathway of fucose and rhamnose degradation
lldD,methylglyoxal degradation IV
lldD,superpathway of methylglyoxal degradation
lldD,L-lactaldehyde degradation (aerobic)
nuoN,NADH to cytochrome bo oxidase electron transfer I
nuoN,NADH to cytochrome bd oxidase electron transfer I
nuoN,NADH to dimethyl sulfoxide electron transfer
nuoN,nitrate reduction VIII (dissimilatory)
nuoN,NADH to fumarate electron transfer
nuoN,NADH to hydrogen peroxide electron transfer
nuoN,NADH to trimethylamine N-oxide electron transfer
nuoM,NADH to cytochrome bo oxidase electron transfer I
nuoM,NADH to cytochrome bd oxidase electron transfer I
nuoM,NADH to dimethyl sulfoxide electron transfer
nuoM,nitrate reduction VIII (dissimilatory)
nuoM,NADH to fumarate electron transfer
nuoM,NADH to hydrogen peroxide electron transfer
nuoM,NADH to trimethylamine N-oxide electron transfer
hyaC,hydrogen to trimethylamine N-oxide electron transfer
hyaC,hydrogen to dimethyl sulfoxide electron transfer
nuoJ,NADH to cytochrome bo oxidase electron transfer I
nuoJ,NADH to cytochrome bd oxidase electron transfer I
nuoJ,NADH to dimethyl sulfoxide electron transfer
nuoJ,nitrate reduction VIII (dissimilatory)
nuoJ,NADH to fumarate electron transfer
nuoJ,NADH to hydrogen peroxide electron transfer
nuoJ,NADH to trimethylamine N-oxide electron transfer
ubiA,superpathway of chorismate metabolism
ubiA,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiA,ubiquinol-8 biosynthesis (prokaryotic)
nuoG,NADH to cytochrome bo oxidase electron transfer I
nuoG,NADH to cytochrome bd oxidase electron transfer I
nuoG,NADH to dimethyl sulfoxide electron transfer
nuoG,nitrate reduction VIII (dissimilatory)
nuoG,NADH to fumarate electron transfer
nuoG,NADH to hydrogen peroxide electron transfer
nuoG,NADH to trimethylamine N-oxide electron transfer
nuoB,NADH to cytochrome bo oxidase electron transfer I
nuoB,NADH to cytochrome bd oxidase electron transfer I
nuoB,NADH to dimethyl sulfoxide electron transfer
nuoB,nitrate reduction VIII (dissimilatory)
nuoB,NADH to fumarate electron transfer
nuoB,NADH to hydrogen peroxide electron transfer
nuoB,NADH to trimethylamine N-oxide electron transfer
cyoB,proline to cytochrome bo oxidase electron transfer
cyoB,NADH to cytochrome bo oxidase electron transfer II
cyoB,NADH to cytochrome bo oxidase electron transfer I
cyoB,glycerol-3-phosphate to cytochrome bo oxidase electron transfer
cyoB,D-lactate to cytochrome bo oxidase electron transfer
cyoB,pyruvate to cytochrome bo oxidase electron transfer
cyoB,succinate to cytochrome bo oxidase electron transfer
ldhA,mixed acid fermentation
hycD,mixed acid fermentation
frdD,mixed acid fermentation
frdD,NADH to fumarate electron transfer
frdD,hydrogen to fumarate electron transfer
frdD,glycerol-3-phosphate to fumarate electron transfer
frdA,mixed acid fermentation
frdA,NADH to fumarate electron transfer
frdA,hydrogen to fumarate electron transfer
frdA,glycerol-3-phosphate to fumarate electron transfer
adhE,superpathway of L-threonine metabolism
adhE,superpathway of purine deoxyribonucleosides degradation
adhE,superpathway of pyrimidine deoxyribonucleosides degradation
adhE,L-threonine degradation IV
adhE,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
adhE,ethanol degradation I
adhE,mixed acid fermentation
adhE,ethanolamine utilization
hycE,mixed acid fermentation
yqhD,superpathway of methylglyoxal degradation
yqhD,methylglyoxal degradation III
ygaP,thiosulfate disproportionation IV (rhodanese)
hycB,mixed acid fermentation
pflB,mixed acid fermentation
pflB,superpathway of L-threonine metabolism
pflB,L-threonine degradation I
frdB,mixed acid fermentation
frdB,NADH to fumarate electron transfer
frdB,hydrogen to fumarate electron transfer
frdB,glycerol-3-phosphate to fumarate electron transfer
zraR,ZraSR Two-Component Signal Transduction System
fdhF,mixed acid fermentation
hycF,mixed acid fermentation
frmA,formaldehyde oxidation II (glutathione-dependent)
hycC,mixed acid fermentation
frdC,mixed acid fermentation
frdC,NADH to fumarate electron transfer
frdC,hydrogen to fumarate electron transfer
frdC,glycerol-3-phosphate to fumarate electron transfer
hycG,mixed acid fermentation
zraS,ZraSR Two-Component Signal Transduction System
sucB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sucB,superpathway of glyoxylate bypass and TCA
sucB,TCA cycle I (prokaryotic)
sucB,2-oxoglutarate decarboxylation to succinyl-CoA
sdhC,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sdhC,superpathway of glyoxylate bypass and TCA
sdhC,TCA cycle I (prokaryotic)
sdhC,succinate to cytochrome bd oxidase electron transfer
sdhC,succinate to cytochrome bo oxidase electron transfer
ppc,mixed acid fermentation
gltA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
gltA,superpathway of glyoxylate bypass and TCA
gltA,glyoxylate cycle
gltA,TCA cycle I (prokaryotic)
gltA,mixed acid fermentation
fumA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fumA,superpathway of glyoxylate bypass and TCA
fumA,TCA cycle I (prokaryotic)
fumA,mixed acid fermentation
cheY,Aerotactic Two-Component Signal Transduction System
cheY,Chemotactic Two-Component Signal Transduction
sucC,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sucC,superpathway of glyoxylate bypass and TCA
sucC,TCA cycle I (prokaryotic)
sdhD,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sdhD,superpathway of glyoxylate bypass and TCA
sdhD,TCA cycle I (prokaryotic)
sdhD,succinate to cytochrome bd oxidase electron transfer
sdhD,succinate to cytochrome bo oxidase electron transfer
sdhA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sdhA,superpathway of glyoxylate bypass and TCA
sdhA,TCA cycle I (prokaryotic)
sdhA,succinate to cytochrome bd oxidase electron transfer
sdhA,succinate to cytochrome bo oxidase electron transfer
gltA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
gltA,superpathway of glyoxylate bypass and TCA
gltA,TCA cycle I (prokaryotic)
gltA,mixed acid fermentation
fumB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fumB,superpathway of glyoxylate bypass and TCA
fumB,TCA cycle I (prokaryotic)
fumB,mixed acid fermentation
sucD,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sucD,superpathway of glyoxylate bypass and TCA
sucD,TCA cycle I (prokaryotic)
sucA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sucA,superpathway of glyoxylate bypass and TCA
sucA,TCA cycle I (prokaryotic)
sucA,2-oxoglutarate decarboxylation to succinyl-CoA
sdhB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sdhB,superpathway of glyoxylate bypass and TCA
sdhB,TCA cycle I (prokaryotic)
sdhB,succinate to cytochrome bd oxidase electron transfer
sdhB,succinate to cytochrome bo oxidase electron transfer
fumC,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fumC,superpathway of glyoxylate bypass and TCA
fumC,TCA cycle I (prokaryotic)
fumC,mixed acid fermentation
ybhE,pentose phosphate pathway
ybhE,superpathway of glycolysis and the Entner-Doudoroff pathway
ybhE,pentose phosphate pathway (oxidative branch) I
fbaB,superpathway of hexitol degradation (bacteria)
fbaB,superpathway of glycolysis and the Entner-Doudoroff pathway
fbaB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fbaB,gluconeogenesis I
fbaB,glycolysis II (from fructose 6-phosphate)
fbaB,glycolysis I (from glucose 6-phosphate)
pykF,superpathway of hexitol degradation (bacteria)
pykF,superpathway of glycolysis and the Entner-Doudoroff pathway
pykF,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pykF,mixed acid fermentation
pykF,glycolysis II (from fructose 6-phosphate)
pykF,glycolysis I (from glucose 6-phosphate)
tpiA,superpathway of hexitol degradation (bacteria)
tpiA,superpathway of glycolysis and the Entner-Doudoroff pathway
tpiA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
tpiA,gluconeogenesis I
tpiA,glycolysis II (from fructose 6-phosphate)
tpiA,glycolysis I (from glucose 6-phosphate)
pykA,superpathway of hexitol degradation (bacteria)
pykA,superpathway of glycolysis and the Entner-Doudoroff pathway
pykA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pykA,mixed acid fermentation
pykA,glycolysis II (from fructose 6-phosphate)
pykA,glycolysis I (from glucose 6-phosphate)
chbG,chitobiose degradation
cpxR,CpxAR Two-Component Signal Transduction System
yfeW,peptidoglycan maturation (meso-diaminopimelate containing)
ldcA,muropeptide degradation
ldcA,anhydromuropeptides recycling I
ybjR,anhydromuropeptides recycling I
sppA,lipoprotein posttranslational modification
yaeL,lipoprotein posttranslational modification
pepD,muropeptide degradation
mpaA,muropeptide degradation
aat,N-end rule pathway I (prokaryotic)
rne,tRNA processing
rbn,tRNA processing
elaC,tRNA processing
rnb,tRNA processing
rph,tRNA processing
pnp,tRNA processing
rnd,tRNA processing
rnt,tRNA processing
rnpA,tRNA processing
tauD,taurine degradation IV
puuD,superpathway of L-arginine and L-ornithine degradation
puuD,superpathway of ornithine degradation
puuD,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
puuD,putrescine degradation II
feaB,superpathway of phenylethylamine degradation
feaB,phenylethylamine degradation I
eutC,ethanolamine utilization
puuB,superpathway of L-arginine and L-ornithine degradation
puuB,superpathway of ornithine degradation
puuB,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
puuB,putrescine degradation II
puuE,superpathway of L-arginine and L-ornithine degradation
puuE,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
puuE,superpathway of 4-aminobutanoate degradation
puuE,4-aminobutanoate degradation I
puuE,L-lysine degradation I
puuC,putrescine degradation I
puuC,superpathway of 4-aminobutanoate degradation
